Main General;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Total Mounted;;;Total Ground;;;Total Ranged;;;Total Siege;;;Overall;;;;;Attributes;;;Base Stats;;;;;;Base Growth;;;;;;;General Lvl; 44 ;
#73;Surena; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 30 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 85 ; 30 ; 40 ; 155 ; -   ; -   ; -   ; 155 ;;;;;;;;;;;;;;;;;;;
#74;*Kusunoki; 20 ; -   ; -   ; -   ; -   ; -   ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; 6 ; -   ; -   ; 51 ; 10 ; 20 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 26 ; -   ; -   ; 6 ; -   ; -   ; 86 ; 10 ; 20 ; 6 ; -   ; -   ; 154 ; 26 ; 6 ; 116 ; 6 ;;;;;;;;;;;;;;;;;;;
#75;Henry V; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; 6 ; -   ; -   ; 46 ; 10 ; -   ; 36 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; 6 ; -   ; -   ; 76 ; 20 ; 10 ; 36 ; -   ; -   ; 154 ; 6 ; 6 ; 106 ; 36 ;;;;;;;;;;;;;;;;;;;
#76;Trajan; -   ; -   ; -   ; 15 ; 15 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 46 ; 10 ; 36 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 61 ; 25 ; 56 ; -   ; -   ; -   ; -   ; -   ; -   ; 152 ; 10 ; 142 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#77;*Jadwiga; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 56 ; 20 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 86 ; 20 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; 25 ; -   ; -   ; 151 ; 116 ; 10 ; -   ; 25 ;;;;;;;;;;;;;;;;;;;
#78;*Tran Hung; -   ; -   ; -   ; -   ; -   ; 20 ; -   ; -   ; -   ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 60 ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; 10 ; -   ; -   ; 90 ; 20 ; 10 ; 150 ; -   ; 20 ; 10 ; 120 ;;;;;;;;;;;;;;;;;;;
#79;Khalid; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 50 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 70 ; 10 ; 20 ; 150 ; 40 ; -   ; 10 ; 100 ;;;;;;;;;;;;;;;;;;;
#80;Gwanggaeto; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; -   ; -   ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 36 ; 30 ; 10 ; 16 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 56 ; 30 ; 10 ; 36 ; 10 ; -   ; 142 ; -   ; -   ; 96 ; 46 ;;;;;;;;;;;;;;;;;;;
#81;Washington; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 46 ; 36 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 81 ; 36 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 137 ; 127 ; 10 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#82;Robert Guiscard; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; 20 ; 30 ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; 20 ; 30 ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 135 ; 105 ; 30 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#83;Edward the Black Prince; -   ; -   ; -   ; -   ; -   ; -   ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 46 ; 10 ; 46 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 71 ; 10 ; 46 ; -   ; -   ; -   ; 127 ; -   ; -   ; 127 ; -   ;;;;;;;;;;;;;;;;;;;
#84;Raged King; 10 ; -   ; -   ; 10 ; -   ; -   ; 10 ; -   ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 10 ; -   ; -   ; 20 ; -   ; -   ; 30 ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; -   ; -   ; 20 ; -   ; -   ; 30 ; -   ; -   ; 40 ; -   ; 10 ; 120 ; 20 ; 20 ; 30 ; 50 ;;;;;;;;;;;;;;;;;;;
#85;Ramsesses II; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; -   ; 20 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 30 ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; -   ; -   ; 50 ; 40 ; 10 ; 120 ; -   ; 10 ; 10 ; 100 ;;;;;;;;;;;;;;;;;;;
#86;Oda Nobunaga; -   ; -   ; -   ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; 36 ; -   ; 30 ; 6 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; 71 ; -   ; 30 ; 6 ; -   ; -   ; 6 ; -   ; -   ; 119 ; 6 ; 101 ; 6 ; 6 ;;;;;;;;;;;;;;;;;;;
#87;Alexander Nevsky; -   ; 10 ; -   ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; 26 ; 6 ; 10 ; 36 ; 6 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; 10 ; 26 ; 6 ; 20 ; 36 ; 6 ; -   ; -   ; 6 ; -   ; -   ; 116 ; 42 ; 62 ; 6 ; 6 ;;;;;;;;;;;;;;;;;;;
#88;Li Jing; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 85 ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 115 ; 115 ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#89;Peter the Great; -   ; -   ; -   ; -   ; -   ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 20 ; 30 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 20 ; 30 ; 55 ; -   ; -   ; -   ; -   ; -   ; -   ; 115 ; 10 ; 105 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#90;William Wallace; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 46 ; -   ; 36 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 66 ; -   ; 36 ; 112 ; -   ; -   ; 10 ; 102 ;;;;;;;;;;;;;;;;;;;
#91;Emperor Qin Shihuang; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 36 ; 36 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 71 ; 36 ; -   ; 107 ; -   ; -   ; -   ; 107 ;;;;;;;;;;;;;;;;;;;
#92;Winfield Scott; 5 ; -   ; -   ; 5 ; -   ; -   ; 25 ; -   ; -   ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; 6 ; -   ; -   ; 26 ; 10 ; -   ; 16 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 11 ; -   ; -   ; 11 ; -   ; -   ; 51 ; 10 ; -   ; 21 ; -   ; -   ; 104 ; 11 ; 11 ; 61 ; 21 ;;;;;;;;;;;;;;;;;;;
#93;Elizabeth I; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; -   ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; 20 ; 10 ; 15 ; -   ; -   ; 100 ; -   ; -   ; 85 ; 15 ;;;;;;;;;;;;;;;;;;;
#94;Gustavus Adolphus; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; -   ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 30 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 25 ; -   ; -   ; 45 ; 10 ; 20 ; 100 ; -   ; -   ; 25 ; 75 ;;;;;;;;;;;;;;;;;;;
#95;Jumong; -   ; -   ; -   ; -   ; -   ; -   ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 26 ; 16 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 61 ; 16 ; 10 ; -   ; -   ; -   ; 87 ; -   ; -   ; 87 ; -   ;;;;;;;;;;;;;;;;;;;
#96;*Richard the Lion; -   ; -   ;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; 10 ; 20 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; 10 ; 20 ; 20 ; 70 ; 10 ; 10 ; -   ; 50 ;;;;;;;;;;;;;;;;;;;
#97;*Shajar; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; 10 ; 30 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#98;Li Shimin; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 25 ; -   ; 10 ; -   ; -   ; -   ; 35 ; -   ; -   ; 35 ; -   ;;;;;;;;;;;;;;;;;;;
#99;Rostam; 60 ; 60 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 75 ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12 ; 10 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 147 ; 90 ; 70 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 307 ; 307 ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#100;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#101;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#102;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#103;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#104;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#105;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#106;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#107;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#108;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#109;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#110;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#111;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;;;;;;;;;;
